subj,group,cb,trialNum,trialType,x,y,dimValR
9102,distant neg,2,5,GSCol,11,48.25,1
9102,distant neg,2,6,GSCol,9,100,3
9102,distant neg,2,7,GSCol,1,99.25,11
9102,distant neg,2,8,GSCol,6,99.25,6
9102,distant neg,2,9,GSCol,3,99.25,9
9102,distant neg,2,10,GSCol,10,99.25,2
9102,distant neg,2,11,GSCol,5,99.25,7
9105,distant neg,1,1,GSCol,4,48.5,4
9105,distant neg,1,2,GSCol,9,48.5,9
9105,distant neg,1,3,GSCol,7,48.5,7
9105,distant neg,1,4,GSCol,1,48.5,1
9105,distant neg,1,5,GSCol,6,48.5,6
9105,distant neg,1,6,GSCol,2,48.5,2
9105,distant neg,1,7,GSCol,11,48.5,11
9105,distant neg,1,8,GSCol,5,98.5,5
9105,distant neg,1,9,GSCol,3,47.25,3
9105,distant neg,1,10,GSCol,8,47.25,8
9105,distant neg,1,11,GSCol,10,47.25,10
9108,distant neg,2,1,GSCol,8,91.75,4
9108,distant neg,2,2,GSCol,10,91.25,2
9108,distant neg,2,3,GSCol,6,99.5,6
9108,distant neg,2,4,GSCol,9,92,3
9108,distant neg,2,5,GSCol,11,92,1
9108,distant neg,2,6,GSCol,2,96.25,10
9108,distant neg,2,7,GSCol,1,96.25,11
9108,distant neg,2,8,GSCol,5,99.5,7
9108,distant neg,2,9,GSCol,3,96,9
9108,distant neg,2,10,GSCol,7,89.75,5
9108,distant neg,2,11,GSCol,4,92.5,8
9111,distant neg,1,1,GSCol,9,84,9
9111,distant neg,1,2,GSCol,6,100,6
9111,distant neg,1,3,GSCol,10,80,10
9111,distant neg,1,4,GSCol,1,63.5,1
9111,distant neg,1,5,GSCol,7,100,7
9111,distant neg,1,6,GSCol,4,71.25,4
9111,distant neg,1,7,GSCol,8,71.25,8
9111,distant neg,1,8,GSCol,11,56.25,11
9111,distant neg,1,9,GSCol,3,56.25,3
9111,distant neg,1,10,GSCol,2,65.75,2
9111,distant neg,1,11,GSCol,5,65.75,5
9114,distant neg,2,1,GSCol,9,84.75,3
9114,distant neg,2,2,GSCol,1,86.75,11
9114,distant neg,2,3,GSCol,10,0,2
9114,distant neg,2,4,GSCol,4,100,8
9114,distant neg,2,5,GSCol,8,0,4
9114,distant neg,2,6,GSCol,6,100,6
9114,distant neg,2,7,GSCol,11,46.75,1
9114,distant neg,2,8,GSCol,3,48.75,9
9114,distant neg,2,9,GSCol,7,48.75,5
9114,distant neg,2,10,GSCol,2,48.75,10
9114,distant neg,2,11,GSCol,5,48.75,7
9117,distant neg,1,1,GSCol,3,92,3
9117,distant neg,1,2,GSCol,6,100,6
9117,distant neg,1,3,GSCol,2,100,2
9117,distant neg,1,4,GSCol,7,100,7
9117,distant neg,1,5,GSCol,4,98.25,4
9117,distant neg,1,6,GSCol,11,72.25,11
9117,distant neg,1,7,GSCol,10,77.5,10
9117,distant neg,1,8,GSCol,5,95.75,5
9117,distant neg,1,9,GSCol,1,94.75,1
9117,distant neg,1,10,GSCol,9,94.75,9
9117,distant neg,1,11,GSCol,8,93.5,8
9120,distant neg,2,1,GSCol,1,87,11
9120,distant neg,2,2,GSCol,10,68,2
9120,distant neg,2,3,GSCol,11,30,1
9120,distant neg,2,4,GSCol,4,84.5,8
9120,distant neg,2,5,GSCol,5,84.5,7
9120,distant neg,2,6,GSCol,8,20,4
9120,distant neg,2,7,GSCol,7,20,5
9120,distant neg,2,8,GSCol,2,84.75,10
9120,distant neg,2,9,GSCol,6,21,6
9120,distant neg,2,10,GSCol,9,22.25,3
9120,distant neg,2,11,GSCol,3,83.25,9
9123,distant neg,1,1,GSCol,1,100,1
9123,distant neg,1,2,GSCol,8,100,8
9123,distant neg,1,3,GSCol,4,100,4
9123,distant neg,1,4,GSCol,11,100,11
9123,distant neg,1,5,GSCol,2,100,2
9123,distant neg,1,6,GSCol,10,100,10
9123,distant neg,1,7,GSCol,7,100,7
9123,distant neg,1,8,GSCol,6,100,6
9123,distant neg,1,9,GSCol,9,100,9
9123,distant neg,1,10,GSCol,3,100,3
9123,distant neg,1,11,GSCol,5,100,5
9126,distant neg,2,1,GSCol,9,99.25,3
9126,distant neg,2,2,GSCol,8,82.25,4
9126,distant neg,2,3,GSCol,6,99,6
9126,distant neg,2,4,GSCol,2,81.5,10
9126,distant neg,2,5,GSCol,5,85,7
9126,distant neg,2,6,GSCol,7,88.25,5
9126,distant neg,2,7,GSCol,1,88.5,11
9126,distant neg,2,8,GSCol,10,92.75,2
9126,distant neg,2,9,GSCol,11,45,1
9126,distant neg,2,10,GSCol,4,89.5,8
9126,distant neg,2,11,GSCol,3,73.75,9
9129,distant neg,1,1,GSCol,10,95.5,10
9129,distant neg,1,2,GSCol,6,100,6
9129,distant neg,1,3,GSCol,1,68.5,1
9129,distant neg,1,4,GSCol,8,89,8
9129,distant neg,1,5,GSCol,11,33.25,11
9129,distant neg,1,6,GSCol,7,100,7
9129,distant neg,1,7,GSCol,9,34.5,9
9129,distant neg,1,8,GSCol,4,49.25,4
9129,distant neg,1,9,GSCol,3,56,3
9129,distant neg,1,10,GSCol,2,68.25,2
9129,distant neg,1,11,GSCol,5,100,5
9132,distant neg,2,1,GSCol,11,47.25,1
9132,distant neg,2,2,GSCol,1,83.25,11
9132,distant neg,2,3,GSCol,2,84.25,10
9132,distant neg,2,4,GSCol,4,90.75,8
9132,distant neg,2,5,GSCol,5,99,7
9132,distant neg,2,6,GSCol,7,95.25,5
9132,distant neg,2,7,GSCol,9,96.25,3
9132,distant neg,2,8,GSCol,3,69.5,9
9132,distant neg,2,9,GSCol,6,100,6
9132,distant neg,2,10,GSCol,8,71.75,4
9132,distant neg,2,11,GSCol,10,68.5,2
9135,distant neg,1,1,GSCol,6,100,6
9135,distant neg,1,2,GSCol,11,100,11
9135,distant neg,1,3,GSCol,7,100,7
9135,distant neg,1,4,GSCol,10,100,10
9135,distant neg,1,5,GSCol,3,100,3
9135,distant neg,1,6,GSCol,1,100,1
9135,distant neg,1,7,GSCol,5,100,5
9135,distant neg,1,8,GSCol,4,100,4
9135,distant neg,1,9,GSCol,2,100,2
9135,distant neg,1,10,GSCol,9,100,9
9135,distant neg,1,11,GSCol,8,100,8
9138,distant neg,2,1,GSCol,10,83.5,2
9138,distant neg,2,2,GSCol,3,64,9
9138,distant neg,2,3,GSCol,7,35,5
9138,distant neg,2,4,GSCol,8,73,4
9138,distant neg,2,5,GSCol,6,37.75,6
9138,distant neg,2,6,GSCol,2,94,10
9138,distant neg,2,7,GSCol,11,99.75,1
9138,distant neg,2,8,GSCol,5,2.5,7
9138,distant neg,2,9,GSCol,4,25.25,8
9138,distant neg,2,10,GSCol,9,52.25,3
9138,distant neg,2,11,GSCol,1,93.75,11
9001,single pos,1,1,GSCol,8,0,8
9001,single pos,1,2,GSCol,9,0,9
9001,single pos,1,3,GSCol,6,100,6
9001,single pos,1,4,GSCol,3,0,3
9001,single pos,1,5,GSCol,5,100,5
9001,single pos,1,6,GSCol,2,0,2
9001,single pos,1,7,GSCol,4,0,4
9001,single pos,1,8,GSCol,1,0,1
9001,single pos,1,9,GSCol,10,0,10
9001,single pos,1,10,GSCol,7,65.25,7
9001,single pos,1,11,GSCol,11,0,11
9004,single pos,2,1,GSCol,9,69.25,3
9004,single pos,2,2,GSCol,8,67,4
9004,single pos,2,3,GSCol,2,83.25,10
9004,single pos,2,4,GSCol,11,25.25,1
9004,single pos,2,5,GSCol,3,69,9
9004,single pos,2,6,GSCol,6,100,6
9004,single pos,2,7,GSCol,4,82.75,8
9004,single pos,2,8,GSCol,10,29.75,2
9004,single pos,2,9,GSCol,5,95.25,7
9004,single pos,2,10,GSCol,7,68,5
9004,single pos,2,11,GSCol,1,77,11
9007,single pos,1,1,GSCol,1,51.25,1
9007,single pos,1,2,GSCol,9,51.25,9
9007,single pos,1,3,GSCol,3,44.5,3
9007,single pos,1,4,GSCol,5,100,5
9007,single pos,1,5,GSCol,6,100,6
9007,single pos,1,6,GSCol,11,50,11
9007,single pos,1,7,GSCol,8,50,8
9007,single pos,1,8,GSCol,2,19,2
9007,single pos,1,9,GSCol,4,66.25,4
9007,single pos,1,10,GSCol,10,27.5,10
9007,single pos,1,11,GSCol,7,100,7
9010,single pos,2,1,GSCol,6,99.5,6
9010,single pos,2,2,GSCol,11,20,1
9010,single pos,2,3,GSCol,4,23.25,8
9010,single pos,2,4,GSCol,1,23.5,11
9010,single pos,2,5,GSCol,8,24,4
9010,single pos,2,6,GSCol,10,37,2
9010,single pos,2,7,GSCol,2,27.75,10
9010,single pos,2,8,GSCol,9,50,3
9010,single pos,2,9,GSCol,7,99,5
9010,single pos,2,10,GSCol,5,48.25,7
9010,single pos,2,11,GSCol,3,16.75,9
9013,single pos,1,1,GSCol,2,62.5,2
9013,single pos,1,2,GSCol,6,99,6
9013,single pos,1,3,GSCol,8,79.25,8
9013,single pos,1,4,GSCol,4,51,4
9013,single pos,1,5,GSCol,7,98.75,7
9013,single pos,1,6,GSCol,5,49.5,5
9013,single pos,1,7,GSCol,10,79.5,10
9013,single pos,1,8,GSCol,11,79.5,11
9013,single pos,1,9,GSCol,1,14,1
9013,single pos,1,10,GSCol,9,73.75,9
9013,single pos,1,11,GSCol,3,47.75,3
9016,single pos,2,1,GSCol,4,56,8
9016,single pos,2,2,GSCol,2,40,10
9016,single pos,2,3,GSCol,10,37.25,2
9016,single pos,2,4,GSCol,7,96,5
9016,single pos,2,5,GSCol,11,36.75,1
9016,single pos,2,6,GSCol,1,37.5,11
9016,single pos,2,7,GSCol,9,30,3
9016,single pos,2,8,GSCol,6,97,6
